Father_gentotype,Mother_genotype,Males_crossed,Females_crossed,Progeny Inheriting Drive Allele (%),Progeny Inheriting Drive Allele,Progeny Inheriting WT Allele
W118,rcd-1r_d/+,1,3,96.95,,
W118,rcd-1r_d/+,1,3,94.59,,
W118,rcd-1r_d/+,1,3,88.02,,
W118,rcd-1r_d/+,1,3,85.83,,
W118,rcd-1r_d/+,1,3,82.8,,
W118,rcd-1r_d/+,1,3,77.07,,
W118,rcd-1r_d/+,1,3,75.22,,
W118,rcd-1r_d/+,1,3,74.71,,
W118,rcd-1r_d/+,1,3,74.54,,
W118,rcd-1r_d/+,1,3,74.04,,
W118,rcd-1r_d/+,1,3,73.53,,
W118,rcd-1r_d/+,1,3,73.03,,
W118,rcd-1r_d/+,1,3,72.69,,
W118,rcd-1r_d/+,1,3,70.16,,
W118,rcd-1r_d/+,1,3,59.38,,
W118,rcd-1r_d/+,1,3,91.23,52,5
W118,rcd-1r_d/+,1,3,79.74,122,31
W118,rcd-1r_d/+,1,3,93.01,173,13
W118,rcd-1r_d/+,1,3,94.51,86,5
rcd-1r_d/+,W118,1,3,89.03,,
rcd-1r_d/+,W118,1,3,88.36,,
rcd-1r_d/+,W118,1,3,86.67,,
rcd-1r_d/+,W118,1,3,82.96,,
rcd-1r_d/+,W118,1,3,79.6,,
rcd-1r_d/+,W118,1,3,79.43,,
rcd-1r_d/+,W118,1,3,78.04,,
rcd-1r_d/+,W118,1,3,77.24,,
rcd-1r_d/+,W118,1,3,75.22,,
rcd-1r_d/+,W118,1,3,71.68,,
rcd-1r_d/+,W118,1,3,70.84,,
rcd-1r_d/+,W118,1,3,70.84,,
rcd-1r_d/+,W118,1,3,64.6,,
rcd-1r_d/+,W118,1,3,61.23,,
rcd-1r_d/+,W118,1,3,86.81,79,12
rcd-1r_d/+,W118,1,3,76.67,23,7
rcd-1r_d/+,W118,1,3,71.05,27,11
rcd-1r_d/+,W118,1,3,78.21,61,17
W118,rcd-1r_dCFP/+,1,3,59.38,,
