Sample,Unmodified%,Modified%,Reads_aligned,Reads_total,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions
WT,99.95776247,0.04223753,37881,37881,37865,16,0,0,8,8,0,8,8,0,0,0,0
WT,99.90129995,0.09870005,41540,41540,41499,41,0,0,28,13,0,28,13,0,0,0,0
WT,99.92314741,0.07685259,33831,33831,33805,26,0,0,16,10,0,16,10,0,0,0,0
Exp,99.23264042,0.76735958,45220,45220,44873,347,0,3,318,27,3,317,26,0,0,1,0
Exp,83.89860005,16.10139995,51716,51716,43389,8327,0,762,7554,413,360,7554,11,0,402,0,0
Exp,86.22899776,13.77100224,49459,49459,42648,6811,0,1146,4688,1542,581,4688,977,0,565,0,0
Exp,86.95241971,13.04758029,54056,54056,47003,7053,0,794,6240,210,603,6240,19,0,191,0,0
Exp,91.65142052,8.34857948,47553,47553,43583,3970,0,0,3952,18,0,3952,18,0,0,0,0
Exp,85.40163934,14.59836066,48800,48800,41676,7124,0,910,6203,921,0,6203,11,0,910,0,0
Exp,78.09846471,21.90153529,46636,46636,36422,10214,0,361,9842,12,361,9841,11,0,0,1,0
Exp,92.00736648,7.99263352,43440,43440,39968,3472,0,872,2592,8,872,2592,8,0,0,0,0
Exp,98.75427269,1.24572731,39495,39495,39003,492,0,468,9,15,468,9,15,0,0,0,0
Exp,77.95111187,22.04888813,58910,58910,45921,12989,0,834,12146,438,405,12146,9,0,429,0,0
Exp,85.34581653,14.65418347,54046,54046,46126,7920,0,0,7908,12,0,7908,12,0,0,0,0
Exp,88.62825366,11.37174634,55207,55207,48929,6278,0,0,6265,13,0,6265,13,0,0,0,0
